,cocacola,logistic_water,logistic_soda,case
01R71043892,True,True,False,Case 1
01R71044238,True,False,True,Case 1
01R71070550,True,False,True,Case 1
01R71072969,True,False,True,Case 1
01R71073556,True,False,True,Case 1
01R71076137,True,False,True,Case 1
01R71076172,True,False,True,Case 1
01R71076173,True,True,False,Case 1
01R71076174,True,True,False,Case 1
01R71076175,True,True,False,Case 1
01R71076180,True,False,True,Case 1
01R71076181,True,True,False,Case 1
01R71076182,True,True,False,Case 1
01R71076183,True,False,True,Case 1
01R71076184,True,True,False,Case 1
01R71076185,True,True,False,Case 1
01R71076186,True,False,True,Case 1
01R71076187,True,False,True,Case 1
01R71076188,True,True,False,Case 1
01R71076190,True,True,False,Case 1
01R71076194,True,True,False,Case 1
01R71076196,True,True,False,Case 1
01R71076198,True,True,False,Case 1
01R71076199,True,False,True,Case 1
01R71076200,True,True,False,Case 1
01R71076201,True,True,False,Case 1
01R71076202,True,False,True,Case 1
01R71076203,True,True,False,Case 1
01R71076205,True,True,False,Case 1
01R71076206,True,True,False,Case 1
01R71076207,True,False,True,Case 1
01R71076208,True,True,False,Case 1
01R71076210,True,True,False,Case 1
01R71076217,True,True,False,Case 1
01R71076218,True,False,True,Case 1
01R71076219,True,True,False,Case 1
01R71076220,True,False,True,Case 1
01R71076221,True,True,False,Case 1
01R71076222,True,False,True,Case 1
01R71076233,True,False,True,Case 1
01R71076245,True,True,False,Case 1
01R71076248,True,False,True,Case 1
01R71076253,True,False,True,Case 1
01R71076254,True,False,True,Case 1
01R71076257,True,True,False,Case 1
01R71076270,True,False,True,Case 1
01R71076277,True,True,False,Case 1
01R71076374,True,True,False,Case 1
01R71076392,True,True,False,Case 1
01R71076393,True,False,True,Case 1
01R71076394,True,True,False,Case 1
01R71076395,True,True,False,Case 1
01R71076396,True,False,True,Case 1
01R71076397,True,True,False,Case 1
01R71076400,True,False,True,Case 1
01R71076401,True,False,True,Case 1
01R71076402,True,True,False,Case 1
01R71076405,True,True,False,Case 1
01R71076407,True,True,False,Case 1
01R71076409,True,False,True,Case 1
01R71076410,True,True,False,Case 1
01R71076413,True,True,False,Case 1
01R71076415,True,True,False,Case 1
01R71076416,True,True,False,Case 1
01R71076420,True,True,False,Case 1
01R71076421,True,False,True,Case 1
01R71076422,True,False,True,Case 1
01R71076424,True,False,True,Case 1
01R71076426,True,False,True,Case 1
01R71076427,True,False,True,Case 1
01R71076428,True,True,False,Case 1
01R71076431,True,False,True,Case 1
01R71076432,True,True,False,Case 1
01R71076433,True,False,True,Case 1
01R71076436,True,True,False,Case 1
01R71076437,True,False,True,Case 1
01R71076438,True,False,True,Case 1
01R71076443,True,False,True,Case 1
01R71076444,True,False,True,Case 1
01R71076446,True,False,True,Case 1
01R71076447,True,False,True,Case 1
01R71076448,True,False,False,Case 2
01R71076452,True,True,False,Case 1
01R71076454,True,True,False,Case 1
01R71076455,True,True,False,Case 1
01R71076456,True,True,False,Case 1
01R71076457,True,False,True,Case 1
01R71076458,True,False,True,Case 1
01R71076459,True,False,True,Case 1
01R71076460,True,True,False,Case 1
01R71076461,True,False,True,Case 1
01R71076462,True,True,False,Case 1
01R71076463,True,False,True,Case 1
01R71076472,True,False,True,Case 1
01R71076475,True,False,True,Case 1
01R71076494,True,False,True,Case 1
01R71076497,True,True,False,Case 1
01R71076498,True,True,False,Case 1
