fecha,remision,origen,destino,placa,kilometros
1/10/2020,01R71100230,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
1/10/2020,08R70013348,08 - PASATIEMPO                    ,14 - NIXAPA                        ,C-119-111,21
1/10/2020,14R70235908,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
1/10/2020,14R70235922,14 - NIXAPA                        ,08 - PASATIEMPO                    ,C-119-111,20
2/10/2020,01R71100268,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
2/10/2020,05R70247204,05 - SAN MIGUEL                    ,14 - NIXAPA                        ,C-119-111,138
2/10/2020,14R70235912,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
2/10/2020,14R70236010,14 - NIXAPA                        ,92 - OPERADOR LOGISTICO            ,C-119-111,19
2/10/2020,92R70010392,92 - OPERADOR LOGISTICO            ,05 - SAN MIGUEL                    ,C-119-111,138
3/10/2020,01R71100398,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
3/10/2020,14R70235986,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
3/10/2020,14R70236050,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
3/10/2020,14R70236128,14 - NIXAPA                        ,92 - OPERADOR LOGISTICO            ,C-119-111,19
3/10/2020,14R70236139,14 - NIXAPA                        ,92 - OPERADOR LOGISTICO            ,C-119-111,19
3/10/2020,92R70010408,92 - OPERADOR LOGISTICO            ,14 - NIXAPA                        ,C-119-111,10
3/10/2020,92R70010418,92 - OPERADOR LOGISTICO            ,14 - NIXAPA                        ,C-119-111,10
4/10/2020,01R71100509,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
4/10/2020,01R71100562,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
4/10/2020,05R70247245,05 - SAN MIGUEL                    ,14 - NIXAPA                        ,C-119-111,138
4/10/2020,14R70236005,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
4/10/2020,14R70236096,14 - NIXAPA                        ,05 - SAN MIGUEL                    ,C-119-111,143
1/10/2020,01R71100148,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-460,24
1/10/2020,14R70235949,14 - NIXAPA                        ,92 - OPERADOR LOGISTICO            ,C-119-460,19
1/10/2020,14R70235958,14 - NIXAPA                        ,92 - OPERADOR LOGISTICO            ,C-119-460,19
1/10/2020,92R70010388,92 - OPERADOR LOGISTICO            ,14 - NIXAPA                        ,C-119-460,10
1/10/2020,92R70010390,92 - OPERADOR LOGISTICO            ,06 - SONSONATE                     ,C-119-460,68
2/10/2020,06R70125810,06 - SONSONATE                     ,14 - NIXAPA                        ,C-119-460,62
2/10/2020,14R70235918,14 - NIXAPA                        ,94 - C.D. SAN LUIS TALPA           ,C-119-460,59
2/10/2020,14R70236088,14 - NIXAPA                        ,92 - OPERADOR LOGISTICO            ,C-119-460,19
2/10/2020,92R70010398,92 - OPERADOR LOGISTICO            ,14 - NIXAPA                        ,C-119-460,10
2/10/2020,94R70056472,94 - C.D. SAN LUIS TALPA           ,14 - NIXAPA                        ,C-119-460,59
3/10/2020,04R70265697,04 - SANTA ANA                     ,14 - NIXAPA                        ,C-119-460,55
3/10/2020,08R70013363,08 - PASATIEMPO                    ,14 - NIXAPA                        ,C-119-460,21
3/10/2020,14R70236016,14 - NIXAPA                        ,04 - SANTA ANA                     ,C-119-460,54
3/10/2020,14R70236034,14 - NIXAPA                        ,08 - PASATIEMPO                    ,C-119-460,20
3/10/2020,14R70236126,14 - NIXAPA                        ,AB - RANSA                         ,C-119-460,14
3/10/2020,90R70017974,AB - RANSA                         ,14 - NIXAPA                        ,C-119-460,7
4/10/2020,05R70247237,05 - SAN MIGUEL                    ,14 - NIXAPA                        ,C-119-460,138
4/10/2020,14R70236014,14 - NIXAPA                        ,04 - SANTA ANA                     ,C-119-460,54
4/10/2020,14R70236098,14 - NIXAPA                        ,05 - SAN MIGUEL                    ,C-119-460,143
1/10/2020,01R71100138,01 - PLANTA SOYAPANGO              ,93 - C.DE VENTAS SAN RAFAEL CEDROS ,C-119-458,36
1/10/2020,01R71100231,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-458,24
1/10/2020,14R70235856,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-458,29
1/10/2020,14R70235915,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-458,29
1/10/2020,14R70235919,14 - NIXAPA                        ,94 - C.D. SAN LUIS TALPA           ,C-119-458,59
1/10/2020,14R70235937,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-458,29
1/10/2020,93R70070145,93 - C.DE VENTAS SAN RAFAEL CEDROS ,14 - NIXAPA                        ,C-119-458,57
1/10/2020,94R70056441,94 - C.D. SAN LUIS TALPA           ,14 - NIXAPA                        ,C-119-458,59
2/10/2020,01R71100266,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-458,24
2/10/2020,04R70265678,04 - SANTA ANA                     ,14 - NIXAPA                        ,C-119-458,55
2/10/2020,14R70235975,14 - NIXAPA                        ,06 - SONSONATE                     ,C-119-458,61
2/10/2020,14R70236089,14 - NIXAPA                        ,TB - TLA,C-119-458,5
2/10/2020,90R70017973,TB - TLA,04 - SANTA ANA                     ,C-119-458,64.5
3/10/2020,01R71100293,01 - PLANTA SOYAPANGO              ,AW - WALLMART                      ,C-119-458,19
