fecha,remision,origen,desitno,placa,kilometros
12/10/2020,01R71101341,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
12/10/2020,14R70236515,14 - NIXAPA                        ,92 - OPERADOR LOGISTICO            ,C-119-111,19
12/10/2020,92R70010487,92 - OPERADOR LOGISTICO            ,01 - PLANTA SOYAPANGO              ,C-119-111,18
13/10/2020,01R71101316,01 - PLANTA SOYAPANGO              ,31 - DISTR. AGUA Y JUGO            ,C-119-111,4
13/10/2020,08R70013437,08 - PASATIEMPO                    ,14 - NIXAPA                        ,C-119-111,21
13/10/2020,14R70236398,14 - NIXAPA                        ,08 - PASATIEMPO                    ,C-119-111,20
13/10/2020,14R70236534,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
13/10/2020,14R70236556,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
13/10/2020,31R70374203,31 - DISTR. AGUA Y JUGO            ,14 - NIXAPA                        ,C-119-111,20
14/10/2020,01R71101439,01 - PLANTA SOYAPANGO              ,11 - CHALATENANGO                  ,C-119-111,52
14/10/2020,01R71101510,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-111,24
14/10/2020,06R70125994,06 - SONSONATE                     ,14 - NIXAPA                        ,C-119-111,62
14/10/2020,11R70058578,11 - CHALATENANGO                  ,14 - NIXAPA                        ,C-119-111,44
14/10/2020,14R70236585,14 - NIXAPA                        ,06 - SONSONATE                     ,C-119-111,61
14/10/2020,14R70236672,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-111,29
14/10/2020,14R70236673,14 - NIXAPA                        ,TB - TLA,C-119-111,5
14/10/2020,90R70018003,TB - TLA,01 - PLANTA SOYAPANGO              ,C-119-111,20
15/10/2020,01R71101498,01 - PLANTA SOYAPANGO              ,AW - WALLMART                      ,C-119-111,19
15/10/2020,01R71101537,01 - PLANTA SOYAPANGO              ,11 - CHALATENANGO                  ,C-119-111,52
15/10/2020,11R70058590,11 - CHALATENANGO                  ,14 - NIXAPA                        ,C-119-111,44
